ÐòºÅ,Âö²«,ÓÃ»§ID
0,104,MD20181121002M
1,105,MD20181121002M
2,104,MD20181121002M
3,104,MD20181121002M
4,103,MD20181121002M
5,102,MD20181121002M
6,101,MD20181121002M
7,101,MD20181121002M
8,100,MD20181121002M
9,99,MD20181121002M
10,99,MD20181121002M
11,98,MD20181121002M
12,97,MD20181121002M
13,97,MD20181121002M
14,96,MD20181121002M
15,95,MD20181121002M
16,95,MD20181121002M
17,93,MD20181121002M
18,94,MD20181121002M
19,93,MD20181121002M
20,92,MD20181121002M
21,92,MD20181121002M
22,90,MD20181121002M
23,90,MD20181121002M
24,89,MD20181121002M
25,89,MD20181121002M
26,88,MD20181121002M
27,88,MD20181121002M
28,87,MD20181121002M
29,87,MD20181121002M
30,86,MD20181121002M
31,85,MD20181121002M
32,85,MD20181121002M
33,84,MD20181121002M
34,84,MD20181121002M
35,83,MD20181121002M
36,83,MD20181121002M
37,82,MD20181121002M
38,81,MD20181121002M
39,81,MD20181121002M
40,80,MD20181121002M
41,80,MD20181121002M
42,80,MD20181121002M
43,79,MD20181121002M
44,79,MD20181121002M
45,78,MD20181121002M
46,77,MD20181121002M
47,77,MD20181121002M
48,76,MD20181121002M
49,76,MD20181121002M
50,76,MD20181121002M
51,75,MD20181121002M
52,75,MD20181121002M
53,75,MD20181121002M
54,75,MD20181121002M
55,75,MD20181121002M
56,74,MD20181121002M
57,74,MD20181121002M
58,73,MD20181121002M
59,73,MD20181121002M
60,72,MD20181121002M
61,73,MD20181121002M
62,72,MD20181121002M
63,72,MD20181121002M
64,71,MD20181121002M
65,71,MD20181121002M
66,71,MD20181121002M
67,71,MD20181121002M
68,71,MD20181121002M
69,71,MD20181121002M
70,70,MD20181121002M
71,70,MD20181121002M
72,70,MD20181121002M
73,69,MD20181121002M
74,69,MD20181121002M
75,69,MD20181121002M
76,69,MD20181121002M
77,69,MD20181121002M
78,68,MD20181121002M
79,68,MD20181121002M
80,67,MD20181121002M
81,67,MD20181121002M
82,67,MD20181121002M
83,66,MD20181121002M
84,66,MD20181121002M
85,66,MD20181121002M
86,66,MD20181121002M
87,65,MD20181121002M
88,65,MD20181121002M
89,65,MD20181121002M
90,65,MD20181121002M
91,64,MD20181121002M
92,64,MD20181121002M
93,64,MD20181121002M
94,64,MD20181121002M
95,64,MD20181121002M
96,65,MD20181121002M
97,65,MD20181121002M
98,67,MD20181121002M
99,69,MD20181121002M
100,73,MD20181121002M
101,77,MD20181121002M
102,83,MD20181121002M
103,90,MD20181121002M
104,99,MD20181121002M
105,109,MD20181121002M
106,118,MD20181121002M
107,128,MD20181121002M
108,136,MD20181121002M
109,143,MD20181121002M
110,148,MD20181121002M
111,153,MD20181121002M
112,154,MD20181121002M
113,155,MD20181121002M
114,155,MD20181121002M
115,154,MD20181121002M
116,152,MD20181121002M
117,151,MD20181121002M
118,148,MD20181121002M
119,147,MD20181121002M
120,145,MD20181121002M
121,143,MD20181121002M
122,141,MD20181121002M
123,139,MD20181121002M
124,137,MD20181121002M
125,135,MD20181121002M
126,133,MD20181121002M
127,132,MD20181121002M
128,130,MD20181121002M
129,129,MD20181121002M
130,128,MD20181121002M
131,127,MD20181121002M
132,125,MD20181121002M
133,125,MD20181121002M
134,123,MD20181121002M
135,123,MD20181121002M
136,122,MD20181121002M
137,121,MD20181121002M
138,120,MD20181121002M
139,119,MD20181121002M
140,118,MD20181121002M
141,118,MD20181121002M
142,116,MD20181121002M
143,116,MD20181121002M
144,114,MD20181121002M
145,113,MD20181121002M
146,112,MD20181121002M
147,110,MD20181121002M
148,108,MD20181121002M
149,107,MD20181121002M
150,105,MD20181121002M
151,104,MD20181121002M
152,103,MD20181121002M
153,102,MD20181121002M
154,101,MD20181121002M
155,100,MD20181121002M
156,100,MD20181121002M
157,98,MD20181121002M
158,99,MD20181121002M
159,98,MD20181121002M
160,99,MD20181121002M
161,99,MD20181121002M
162,99,MD20181121002M
163,99,MD20181121002M
164,100,MD20181121002M
165,100,MD20181121002M
166,101,MD20181121002M
167,101,MD20181121002M
168,102,MD20181121002M
169,102,MD20181121002M
170,103,MD20181121002M
171,103,MD20181121002M
172,103,MD20181121002M
173,103,MD20181121002M
174,102,MD20181121002M
175,102,MD20181121002M
176,102,MD20181121002M
177,101,MD20181121002M
178,101,MD20181121002M
179,100,MD20181121002M
180,100,MD20181121002M
181,99,MD20181121002M
182,99,MD20181121002M
183,98,MD20181121002M
184,98,MD20181121002M
185,97,MD20181121002M
186,96,MD20181121002M
187,96,MD20181121002M
188,95,MD20181121002M
189,94,MD20181121002M
190,94,MD20181121002M
191,93,MD20181121002M
192,93,MD20181121002M
193,92,MD20181121002M
194,91,MD20181121002M
195,91,MD20181121002M
196,90,MD20181121002M
197,89,MD20181121002M
198,89,MD20181121002M
199,88,MD20181121002M
200,88,MD20181121002M
201,87,MD20181121002M
202,87,MD20181121002M
203,86,MD20181121002M
204,86,MD20181121002M
205,85,MD20181121002M
206,85,MD20181121002M
207,84,MD20181121002M
208,83,MD20181121002M
209,83,MD20181121002M
210,82,MD20181121002M
211,82,MD20181121002M
212,81,MD20181121002M
213,80,MD20181121002M
214,80,MD20181121002M
215,80,MD20181121002M
