ÐòºÅ,Âö²«,ÓÃ»§ID
0,73,MD20181121006F
1,72,MD20181121006F
2,71,MD20181121006F
3,70,MD20181121006F
4,69,MD20181121006F
5,69,MD20181121006F
6,67,MD20181121006F
7,67,MD20181121006F
8,66,MD20181121006F
9,65,MD20181121006F
10,64,MD20181121006F
11,63,MD20181121006F
12,62,MD20181121006F
13,61,MD20181121006F
14,60,MD20181121006F
15,59,MD20181121006F
16,58,MD20181121006F
17,57,MD20181121006F
18,56,MD20181121006F
19,55,MD20181121006F
20,54,MD20181121006F
21,53,MD20181121006F
22,52,MD20181121006F
23,51,MD20181121006F
24,50,MD20181121006F
25,49,MD20181121006F
26,48,MD20181121006F
27,47,MD20181121006F
28,46,MD20181121006F
29,45,MD20181121006F
30,44,MD20181121006F
31,43,MD20181121006F
32,42,MD20181121006F
33,42,MD20181121006F
34,41,MD20181121006F
35,42,MD20181121006F
36,43,MD20181121006F
37,45,MD20181121006F
38,49,MD20181121006F
39,54,MD20181121006F
40,60,MD20181121006F
41,67,MD20181121006F
42,76,MD20181121006F
43,85,MD20181121006F
44,94,MD20181121006F
45,104,MD20181121006F
46,113,MD20181121006F
47,122,MD20181121006F
48,129,MD20181121006F
49,136,MD20181121006F
50,142,MD20181121006F
51,146,MD20181121006F
52,150,MD20181121006F
53,153,MD20181121006F
54,154,MD20181121006F
55,155,MD20181121006F
56,156,MD20181121006F
57,155,MD20181121006F
58,155,MD20181121006F
59,154,MD20181121006F
60,154,MD20181121006F
61,152,MD20181121006F
62,152,MD20181121006F
63,150,MD20181121006F
64,149,MD20181121006F
65,147,MD20181121006F
66,146,MD20181121006F
67,145,MD20181121006F
68,144,MD20181121006F
69,143,MD20181121006F
70,141,MD20181121006F
71,141,MD20181121006F
72,139,MD20181121006F
73,138,MD20181121006F
74,137,MD20181121006F
75,136,MD20181121006F
76,135,MD20181121006F
77,133,MD20181121006F
78,133,MD20181121006F
79,131,MD20181121006F
80,130,MD20181121006F
81,128,MD20181121006F
82,125,MD20181121006F
83,124,MD20181121006F
84,121,MD20181121006F
85,119,MD20181121006F
86,117,MD20181121006F
87,115,MD20181121006F
88,112,MD20181121006F
89,110,MD20181121006F
90,107,MD20181121006F
91,105,MD20181121006F
92,103,MD20181121006F
93,101,MD20181121006F
94,99,MD20181121006F
95,98,MD20181121006F
96,97,MD20181121006F
97,96,MD20181121006F
98,95,MD20181121006F
99,95,MD20181121006F
100,94,MD20181121006F
101,94,MD20181121006F
102,94,MD20181121006F
103,94,MD20181121006F
104,94,MD20181121006F
105,94,MD20181121006F
106,94,MD20181121006F
107,95,MD20181121006F
108,95,MD20181121006F
109,94,MD20181121006F
110,94,MD20181121006F
111,94,MD20181121006F
112,93,MD20181121006F
113,93,MD20181121006F
114,92,MD20181121006F
115,92,MD20181121006F
116,91,MD20181121006F
117,90,MD20181121006F
118,89,MD20181121006F
119,88,MD20181121006F
120,87,MD20181121006F
121,86,MD20181121006F
122,84,MD20181121006F
123,84,MD20181121006F
124,82,MD20181121006F
125,82,MD20181121006F
126,81,MD20181121006F
127,79,MD20181121006F
128,78,MD20181121006F
129,77,MD20181121006F
130,76,MD20181121006F
131,75,MD20181121006F
132,74,MD20181121006F
133,73,MD20181121006F
134,71,MD20181121006F
135,71,MD20181121006F
136,69,MD20181121006F
137,69,MD20181121006F
138,68,MD20181121006F
139,67,MD20181121006F
140,66,MD20181121006F
141,65,MD20181121006F
142,64,MD20181121006F
143,63,MD20181121006F
144,62,MD20181121006F
145,61,MD20181121006F
146,61,MD20181121006F
147,59,MD20181121006F
148,58,MD20181121006F
149,57,MD20181121006F
150,56,MD20181121006F
151,55,MD20181121006F
152,54,MD20181121006F
153,53,MD20181121006F
154,52,MD20181121006F
155,52,MD20181121006F
156,50,MD20181121006F
157,50,MD20181121006F
158,48,MD20181121006F
159,48,MD20181121006F
160,46,MD20181121006F
161,46,MD20181121006F
162,45,MD20181121006F
163,43,MD20181121006F
164,43,MD20181121006F
165,41,MD20181121006F
166,41,MD20181121006F
167,40,MD20181121006F
168,40,MD20181121006F
169,39,MD20181121006F
170,40,MD20181121006F
171,40,MD20181121006F
172,42,MD20181121006F
173,45,MD20181121006F
174,49,MD20181121006F
175,55,MD20181121006F
176,61,MD20181121006F
177,70,MD20181121006F
178,78,MD20181121006F
179,88,MD20181121006F
180,97,MD20181121006F
181,107,MD20181121006F
182,115,MD20181121006F
183,124,MD20181121006F
184,131,MD20181121006F
185,137,MD20181121006F
186,142,MD20181121006F
187,147,MD20181121006F
188,150,MD20181121006F
189,153,MD20181121006F
190,154,MD20181121006F
191,155,MD20181121006F
192,155,MD20181121006F
193,156,MD20181121006F
194,155,MD20181121006F
195,154,MD20181121006F
196,154,MD20181121006F
197,152,MD20181121006F
198,151,MD20181121006F
199,149,MD20181121006F
200,148,MD20181121006F
201,146,MD20181121006F
202,145,MD20181121006F
203,144,MD20181121006F
204,143,MD20181121006F
205,141,MD20181121006F
206,140,MD20181121006F
207,138,MD20181121006F
208,138,MD20181121006F
209,136,MD20181121006F
210,136,MD20181121006F
211,135,MD20181121006F
212,133,MD20181121006F
213,132,MD20181121006F
214,131,MD20181121006F
215,129,MD20181121006F
216,128,MD20181121006F
217,126,MD20181121006F
218,124,MD20181121006F
219,122,MD20181121006F
