ÐòºÅ,¾²Ì¬Ñ¹Á¦,Âö²«,ÓÃ»§ID
0,0,1726,MD20181122030F
1,0,1726,MD20181122030F
2,0,1728,MD20181122030F
3,0,1726,MD20181122030F
4,0,1726,MD20181122030F
5,0,1721,MD20181122030F
6,0,1721,MD20181122030F
7,0,1719,MD20181122030F
8,0,1719,MD20181122030F
9,0,1719,MD20181122030F
10,0,1718,MD20181122030F
11,0,1718,MD20181122030F
12,0,1716,MD20181122030F
13,0,1719,MD20181122030F
14,0,1718,MD20181122030F
15,0,1721,MD20181122030F
16,0,1722,MD20181122030F
17,0,1719,MD20181122030F
18,0,1716,MD20181122030F
19,0,1716,MD20181122030F
20,0,1722,MD20181122030F
21,0,1723,MD20181122030F
22,0,1723,MD20181122030F
23,0,1724,MD20181122030F
24,0,1725,MD20181122030F
25,0,1724,MD20181122030F
26,0,1724,MD20181122030F
27,0,1723,MD20181122030F
28,0,1725,MD20181122030F
29,0,1725,MD20181122030F
30,0,1723,MD20181122030F
31,0,1724,MD20181122030F
32,0,1725,MD20181122030F
33,0,1724,MD20181122030F
34,0,1726,MD20181122030F
35,0,1725,MD20181122030F
36,0,1725,MD20181122030F
37,0,1726,MD20181122030F
38,0,1724,MD20181122030F
39,0,1725,MD20181122030F
40,0,1725,MD20181122030F
41,0,1726,MD20181122030F
42,0,1726,MD20181122030F
43,0,1726,MD20181122030F
44,0,1725,MD20181122030F
45,0,1726,MD20181122030F
46,0,1724,MD20181122030F
47,0,1725,MD20181122030F
48,0,1725,MD20181122030F
49,0,1725,MD20181122030F
50,0,1726,MD20181122030F
51,0,1724,MD20181122030F
52,0,1726,MD20181122030F
53,0,1724,MD20181122030F
54,0,1726,MD20181122030F
55,0,1725,MD20181122030F
56,0,1725,MD20181122030F
57,0,1725,MD20181122030F
58,0,1727,MD20181122030F
59,0,1726,MD20181122030F
60,0,1725,MD20181122030F
61,0,1725,MD20181122030F
62,0,1724,MD20181122030F
63,0,1723,MD20181122030F
64,0,1727,MD20181122030F
65,0,1725,MD20181122030F
66,0,1728,MD20181122030F
67,0,1726,MD20181122030F
68,0,1725,MD20181122030F
69,0,1724,MD20181122030F
70,0,1723,MD20181122030F
71,0,1726,MD20181122030F
72,0,1727,MD20181122030F
73,0,1728,MD20181122030F
74,0,1726,MD20181122030F
75,0,1723,MD20181122030F
76,0,1724,MD20181122030F
77,0,1725,MD20181122030F
78,0,1726,MD20181122030F
79,0,1727,MD20181122030F
80,0,1726,MD20181122030F
81,0,1723,MD20181122030F
82,0,1717,MD20181122030F
83,0,1717,MD20181122030F
84,0,1720,MD20181122030F
85,0,1726,MD20181122030F
86,0,1727,MD20181122030F
87,0,1724,MD20181122030F
88,0,1725,MD20181122030F
89,0,1728,MD20181122030F
90,0,1729,MD20181122030F
91,0,1728,MD20181122030F
92,0,1730,MD20181122030F
93,0,1730,MD20181122030F
94,0,1729,MD20181122030F
95,0,1729,MD20181122030F
96,0,1727,MD20181122030F
97,0,1729,MD20181122030F
98,0,1731,MD20181122030F
99,0,1730,MD20181122030F
100,0,1730,MD20181122030F
101,0,1729,MD20181122030F
102,0,1729,MD20181122030F
103,0,1728,MD20181122030F
104,0,1729,MD20181122030F
105,0,1728,MD20181122030F
106,0,1729,MD20181122030F
107,0,1731,MD20181122030F
108,0,1730,MD20181122030F
109,0,1730,MD20181122030F
110,0,1728,MD20181122030F
111,0,1730,MD20181122030F
112,0,1729,MD20181122030F
113,0,1731,MD20181122030F
114,0,1731,MD20181122030F
115,0,1730,MD20181122030F
116,0,1729,MD20181122030F
117,0,1730,MD20181122030F
118,0,1729,MD20181122030F
119,0,1729,MD20181122030F
120,0,1731,MD20181122030F
121,0,1731,MD20181122030F
122,0,1730,MD20181122030F
123,0,1729,MD20181122030F
124,0,1728,MD20181122030F
125,0,1729,MD20181122030F
126,0,1730,MD20181122030F
127,0,1729,MD20181122030F
128,0,1730,MD20181122030F
129,0,1729,MD20181122030F
130,0,1729,MD20181122030F
131,0,1729,MD20181122030F
132,0,1731,MD20181122030F
133,0,1729,MD20181122030F
134,0,1729,MD20181122030F
135,0,1730,MD20181122030F
136,0,1729,MD20181122030F
137,0,1731,MD20181122030F
138,0,1728,MD20181122030F
139,0,1729,MD20181122030F
140,0,1728,MD20181122030F
141,0,1730,MD20181122030F
142,0,1729,MD20181122030F
143,0,1730,MD20181122030F
144,0,1729,MD20181122030F
145,0,1729,MD20181122030F
146,0,1729,MD20181122030F
147,0,1727,MD20181122030F
148,0,1728,MD20181122030F
149,0,1729,MD20181122030F
150,0,1729,MD20181122030F
151,0,1728,MD20181122030F
152,0,1729,MD20181122030F
153,0,1730,MD20181122030F
154,0,1728,MD20181122030F
155,0,1729,MD20181122030F
156,0,1730,MD20181122030F
157,0,1729,MD20181122030F
158,0,1729,MD20181122030F
159,0,1728,MD20181122030F
160,0,1729,MD20181122030F
161,0,1729,MD20181122030F
162,0,1730,MD20181122030F
163,0,1729,MD20181122030F
164,0,1727,MD20181122030F
165,0,1728,MD20181122030F
166,0,1729,MD20181122030F
167,0,1729,MD20181122030F
168,0,1728,MD20181122030F
169,0,1728,MD20181122030F
170,0,1729,MD20181122030F
171,0,1728,MD20181122030F
172,0,1728,MD20181122030F
173,0,1729,MD20181122030F
174,0,1729,MD20181122030F
175,0,1728,MD20181122030F
176,0,1729,MD20181122030F
177,0,1729,MD20181122030F
178,0,1729,MD20181122030F
179,0,1729,MD20181122030F
180,0,1728,MD20181122030F
181,0,1730,MD20181122030F
182,0,1731,MD20181122030F
183,0,1730,MD20181122030F
184,0,1729,MD20181122030F
185,0,1728,MD20181122030F
186,0,1729,MD20181122030F
187,0,1729,MD20181122030F
188,0,1731,MD20181122030F
189,0,1730,MD20181122030F
190,0,1729,MD20181122030F
191,0,1729,MD20181122030F
192,0,1728,MD20181122030F
