ÐòºÅ,Âö²«,ÓÃ»§ID
0,83,MD20181122025M
1,83,MD20181122025M
2,83,MD20181122025M
3,82,MD20181122025M
4,82,MD20181122025M
5,82,MD20181122025M
6,81,MD20181122025M
7,81,MD20181122025M
8,80,MD20181122025M
9,81,MD20181122025M
10,80,MD20181122025M
11,80,MD20181122025M
12,79,MD20181122025M
13,79,MD20181122025M
14,79,MD20181122025M
15,78,MD20181122025M
16,78,MD20181122025M
17,78,MD20181122025M
18,78,MD20181122025M
19,78,MD20181122025M
20,77,MD20181122025M
21,77,MD20181122025M
22,77,MD20181122025M
23,77,MD20181122025M
24,77,MD20181122025M
25,77,MD20181122025M
26,77,MD20181122025M
27,76,MD20181122025M
28,76,MD20181122025M
29,76,MD20181122025M
30,76,MD20181122025M
31,76,MD20181122025M
32,75,MD20181122025M
33,76,MD20181122025M
34,76,MD20181122025M
35,77,MD20181122025M
36,78,MD20181122025M
37,81,MD20181122025M
38,84,MD20181122025M
39,89,MD20181122025M
40,96,MD20181122025M
41,103,MD20181122025M
42,112,MD20181122025M
43,121,MD20181122025M
44,131,MD20181122025M
45,141,MD20181122025M
46,149,MD20181122025M
47,156,MD20181122025M
48,162,MD20181122025M
49,166,MD20181122025M
50,169,MD20181122025M
51,171,MD20181122025M
52,171,MD20181122025M
53,170,MD20181122025M
54,168,MD20181122025M
55,166,MD20181122025M
56,163,MD20181122025M
57,160,MD20181122025M
58,157,MD20181122025M
59,153,MD20181122025M
60,150,MD20181122025M
61,146,MD20181122025M
62,143,MD20181122025M
63,140,MD20181122025M
64,136,MD20181122025M
65,133,MD20181122025M
66,130,MD20181122025M
67,127,MD20181122025M
68,125,MD20181122025M
69,121,MD20181122025M
70,119,MD20181122025M
71,116,MD20181122025M
72,113,MD20181122025M
73,110,MD20181122025M
74,108,MD20181122025M
75,106,MD20181122025M
76,103,MD20181122025M
77,101,MD20181122025M
78,99,MD20181122025M
79,97,MD20181122025M
80,94,MD20181122025M
81,92,MD20181122025M
82,90,MD20181122025M
83,88,MD20181122025M
84,87,MD20181122025M
85,85,MD20181122025M
86,84,MD20181122025M
87,83,MD20181122025M
88,82,MD20181122025M
89,82,MD20181122025M
90,82,MD20181122025M
91,81,MD20181122025M
92,82,MD20181122025M
93,81,MD20181122025M
94,82,MD20181122025M
95,82,MD20181122025M
96,83,MD20181122025M
97,83,MD20181122025M
98,84,MD20181122025M
99,84,MD20181122025M
100,84,MD20181122025M
101,85,MD20181122025M
102,85,MD20181122025M
103,85,MD20181122025M
104,86,MD20181122025M
105,86,MD20181122025M
106,86,MD20181122025M
107,86,MD20181122025M
108,87,MD20181122025M
109,86,MD20181122025M
110,87,MD20181122025M
111,86,MD20181122025M
112,86,MD20181122025M
113,86,MD20181122025M
114,86,MD20181122025M
115,86,MD20181122025M
116,86,MD20181122025M
117,86,MD20181122025M
118,85,MD20181122025M
119,85,MD20181122025M
120,85,MD20181122025M
121,85,MD20181122025M
122,85,MD20181122025M
123,85,MD20181122025M
124,84,MD20181122025M
125,84,MD20181122025M
126,83,MD20181122025M
127,83,MD20181122025M
128,82,MD20181122025M
129,82,MD20181122025M
130,82,MD20181122025M
131,81,MD20181122025M
132,81,MD20181122025M
133,80,MD20181122025M
134,80,MD20181122025M
135,80,MD20181122025M
136,80,MD20181122025M
137,79,MD20181122025M
138,80,MD20181122025M
139,79,MD20181122025M
140,79,MD20181122025M
141,78,MD20181122025M
142,78,MD20181122025M
143,78,MD20181122025M
144,78,MD20181122025M
145,78,MD20181122025M
146,77,MD20181122025M
147,77,MD20181122025M
148,77,MD20181122025M
149,77,MD20181122025M
150,77,MD20181122025M
151,77,MD20181122025M
152,77,MD20181122025M
153,77,MD20181122025M
154,76,MD20181122025M
155,77,MD20181122025M
156,75,MD20181122025M
157,76,MD20181122025M
158,75,MD20181122025M
159,75,MD20181122025M
160,75,MD20181122025M
161,75,MD20181122025M
162,75,MD20181122025M
163,75,MD20181122025M
164,75,MD20181122025M
165,75,MD20181122025M
166,75,MD20181122025M
167,75,MD20181122025M
168,75,MD20181122025M
169,75,MD20181122025M
170,76,MD20181122025M
171,77,MD20181122025M
172,79,MD20181122025M
173,82,MD20181122025M
174,86,MD20181122025M
175,92,MD20181122025M
176,98,MD20181122025M
177,106,MD20181122025M
178,115,MD20181122025M
179,125,MD20181122025M
180,134,MD20181122025M
181,143,MD20181122025M
182,151,MD20181122025M
183,158,MD20181122025M
184,164,MD20181122025M
185,168,MD20181122025M
186,170,MD20181122025M
187,171,MD20181122025M
188,172,MD20181122025M
189,170,MD20181122025M
190,169,MD20181122025M
191,166,MD20181122025M
192,164,MD20181122025M
193,161,MD20181122025M
194,157,MD20181122025M
195,154,MD20181122025M
196,151,MD20181122025M
197,147,MD20181122025M
198,144,MD20181122025M
199,140,MD20181122025M
200,136,MD20181122025M
201,133,MD20181122025M
202,129,MD20181122025M
203,127,MD20181122025M
204,123,MD20181122025M
205,121,MD20181122025M
206,118,MD20181122025M
207,116,MD20181122025M
208,113,MD20181122025M
209,111,MD20181122025M
210,108,MD20181122025M
211,106,MD20181122025M
212,103,MD20181122025M
213,101,MD20181122025M
214,99,MD20181122025M
215,96,MD20181122025M
216,95,MD20181122025M
217,92,MD20181122025M
218,91,MD20181122025M
219,89,MD20181122025M
220,88,MD20181122025M
221,87,MD20181122025M
222,87,MD20181122025M
223,86,MD20181122025M
224,86,MD20181122025M
225,85,MD20181122025M
226,86,MD20181122025M
227,85,MD20181122025M
228,86,MD20181122025M
229,86,MD20181122025M
230,86,MD20181122025M
231,87,MD20181122025M
232,87,MD20181122025M
233,88,MD20181122025M
234,89,MD20181122025M
235,89,MD20181122025M
236,90,MD20181122025M
237,90,MD20181122025M
238,91,MD20181122025M
239,91,MD20181122025M
240,92,MD20181122025M
241,92,MD20181122025M
242,93,MD20181122025M
243,92,MD20181122025M
244,93,MD20181122025M
245,93,MD20181122025M
246,93,MD20181122025M
247,93,MD20181122025M
248,93,MD20181122025M
249,93,MD20181122025M
250,93,MD20181122025M
251,92,MD20181122025M
252,92,MD20181122025M
253,92,MD20181122025M
254,91,MD20181122025M
255,91,MD20181122025M
256,91,MD20181122025M
257,91,MD20181122025M
258,90,MD20181122025M
259,90,MD20181122025M
260,89,MD20181122025M
261,89,MD20181122025M
262,88,MD20181122025M
263,88,MD20181122025M
264,87,MD20181122025M
265,86,MD20181122025M
266,86,MD20181122025M
267,86,MD20181122025M
268,85,MD20181122025M
269,85,MD20181122025M
270,84,MD20181122025M
271,84,MD20181122025M
272,83,MD20181122025M
273,83,MD20181122025M
274,82,MD20181122025M
275,82,MD20181122025M
276,82,MD20181122025M
277,82,MD20181122025M
278,82,MD20181122025M
279,82,MD20181122025M
280,82,MD20181122025M
281,81,MD20181122025M
282,81,MD20181122025M
283,81,MD20181122025M
284,81,MD20181122025M
285,81,MD20181122025M
286,80,MD20181122025M
287,80,MD20181122025M
288,80,MD20181122025M
289,80,MD20181122025M
290,80,MD20181122025M
291,79,MD20181122025M
292,79,MD20181122025M
293,79,MD20181122025M
294,79,MD20181122025M
295,78,MD20181122025M
296,79,MD20181122025M
297,78,MD20181122025M
298,79,MD20181122025M
299,80,MD20181122025M
300,81,MD20181122025M
301,84,MD20181122025M
302,87,MD20181122025M
303,92,MD20181122025M
304,99,MD20181122025M
305,106,MD20181122025M
306,115,MD20181122025M
307,125,MD20181122025M
308,135,MD20181122025M
309,144,MD20181122025M
310,153,MD20181122025M
311,160,MD20181122025M
312,166,MD20181122025M
313,170,MD20181122025M
314,173,MD20181122025M
315,175,MD20181122025M
316,175,MD20181122025M
317,175,MD20181122025M
318,173,MD20181122025M
319,171,MD20181122025M
320,169,MD20181122025M
321,165,MD20181122025M
322,162,MD20181122025M
323,158,MD20181122025M
324,155,MD20181122025M
325,152,MD20181122025M
326,149,MD20181122025M
327,145,MD20181122025M
328,142,MD20181122025M
329,139,MD20181122025M
330,136,MD20181122025M
331,133,MD20181122025M
332,129,MD20181122025M
333,127,MD20181122025M
334,124,MD20181122025M
335,122,MD20181122025M
336,119,MD20181122025M
337,116,MD20181122025M
338,114,MD20181122025M
339,112,MD20181122025M
340,110,MD20181122025M
341,108,MD20181122025M
342,106,MD20181122025M
343,104,MD20181122025M
344,102,MD20181122025M
345,100,MD20181122025M
346,98,MD20181122025M
347,97,MD20181122025M
348,95,MD20181122025M
349,95,MD20181122025M
350,93,MD20181122025M
351,93,MD20181122025M
352,92,MD20181122025M
353,91,MD20181122025M
354,90,MD20181122025M
355,90,MD20181122025M
356,90,MD20181122025M
357,90,MD20181122025M
358,91,MD20181122025M
359,90,MD20181122025M
360,91,MD20181122025M
361,91,MD20181122025M
362,92,MD20181122025M
363,92,MD20181122025M
364,93,MD20181122025M
365,93,MD20181122025M
366,93,MD20181122025M
367,94,MD20181122025M
368,94,MD20181122025M
369,94,MD20181122025M
370,94,MD20181122025M
371,95,MD20181122025M
372,95,MD20181122025M
373,95,MD20181122025M
374,95,MD20181122025M
375,95,MD20181122025M
376,95,MD20181122025M
377,95,MD20181122025M
378,95,MD20181122025M
379,95,MD20181122025M
380,94,MD20181122025M
381,94,MD20181122025M
382,94,MD20181122025M
383,93,MD20181122025M
384,93,MD20181122025M
385,92,MD20181122025M
386,91,MD20181122025M
387,91,MD20181122025M
388,90,MD20181122025M
389,90,MD20181122025M
390,89,MD20181122025M
391,89,MD20181122025M
392,88,MD20181122025M
393,87,MD20181122025M
394,87,MD20181122025M
395,86,MD20181122025M
396,86,MD20181122025M
397,85,MD20181122025M
398,85,MD20181122025M
399,84,MD20181122025M
400,84,MD20181122025M
401,83,MD20181122025M
402,83,MD20181122025M
403,83,MD20181122025M
404,82,MD20181122025M
405,82,MD20181122025M
406,82,MD20181122025M
407,81,MD20181122025M
408,81,MD20181122025M
409,80,MD20181122025M
410,80,MD20181122025M
411,80,MD20181122025M
412,79,MD20181122025M
413,80,MD20181122025M
414,79,MD20181122025M
415,79,MD20181122025M
416,78,MD20181122025M
417,78,MD20181122025M
418,78,MD20181122025M
419,77,MD20181122025M
420,77,MD20181122025M
421,77,MD20181122025M
422,77,MD20181122025M
423,77,MD20181122025M
424,78,MD20181122025M
425,78,MD20181122025M
426,79,MD20181122025M
427,81,MD20181122025M
428,84,MD20181122025M
429,89,MD20181122025M
430,94,MD20181122025M
431,101,MD20181122025M
432,110,MD20181122025M
433,119,MD20181122025M
434,129,MD20181122025M
435,138,MD20181122025M
436,147,MD20181122025M
437,154,MD20181122025M
438,161,MD20181122025M
439,165,MD20181122025M
440,169,MD20181122025M
441,171,MD20181122025M
442,171,MD20181122025M
443,171,MD20181122025M
444,170,MD20181122025M
445,168,MD20181122025M
446,165,MD20181122025M
447,163,MD20181122025M
448,159,MD20181122025M
449,156,MD20181122025M
450,153,MD20181122025M
451,150,MD20181122025M
452,147,MD20181122025M
453,143,MD20181122025M
454,140,MD20181122025M
455,137,MD20181122025M
456,134,MD20181122025M
457,131,MD20181122025M
458,128,MD20181122025M
459,125,MD20181122025M
460,122,MD20181122025M
461,119,MD20181122025M
462,117,MD20181122025M
463,115,MD20181122025M
464,113,MD20181122025M
465,110,MD20181122025M
466,108,MD20181122025M
467,106,MD20181122025M
468,104,MD20181122025M
469,102,MD20181122025M
470,101,MD20181122025M
471,98,MD20181122025M
472,97,MD20181122025M
473,95,MD20181122025M
474,93,MD20181122025M
475,92,MD20181122025M
476,90,MD20181122025M
477,89,MD20181122025M
478,88,MD20181122025M
479,87,MD20181122025M
480,87,MD20181122025M
481,87,MD20181122025M
482,86,MD20181122025M
483,87,MD20181122025M
484,86,MD20181122025M
485,87,MD20181122025M
486,87,MD20181122025M
487,88,MD20181122025M
488,88,MD20181122025M
489,88,MD20181122025M
490,88,MD20181122025M
491,89,MD20181122025M
492,89,MD20181122025M
493,90,MD20181122025M
494,90,MD20181122025M
495,90,MD20181122025M
496,90,MD20181122025M
497,91,MD20181122025M
498,90,MD20181122025M
499,91,MD20181122025M
500,91,MD20181122025M
501,91,MD20181122025M
502,90,MD20181122025M
503,91,MD20181122025M
504,90,MD20181122025M
505,90,MD20181122025M
506,90,MD20181122025M
507,89,MD20181122025M
508,89,MD20181122025M
509,89,MD20181122025M
510,88,MD20181122025M
511,88,MD20181122025M
512,87,MD20181122025M
513,87,MD20181122025M
514,86,MD20181122025M
515,87,MD20181122025M
516,85,MD20181122025M
517,86,MD20181122025M
518,84,MD20181122025M
519,84,MD20181122025M
520,83,MD20181122025M
521,83,MD20181122025M
522,82,MD20181122025M
523,82,MD20181122025M
524,82,MD20181122025M
525,81,MD20181122025M
526,81,MD20181122025M
527,81,MD20181122025M
528,81,MD20181122025M
529,80,MD20181122025M
530,80,MD20181122025M
531,80,MD20181122025M
532,79,MD20181122025M
533,79,MD20181122025M
534,79,MD20181122025M
535,79,MD20181122025M
536,78,MD20181122025M
537,78,MD20181122025M
538,77,MD20181122025M
539,77,MD20181122025M
540,77,MD20181122025M
541,77,MD20181122025M
542,77,MD20181122025M
543,77,MD20181122025M
544,77,MD20181122025M
545,76,MD20181122025M
546,76,MD20181122025M
547,76,MD20181122025M
548,76,MD20181122025M
549,76,MD20181122025M
550,76,MD20181122025M
551,76,MD20181122025M
552,75,MD20181122025M
