ÐòºÅ,Âö²«,ÓÃ»§ID
0,108,MD20181122005F
1,108,MD20181122005F
2,107,MD20181122005F
3,106,MD20181122005F
4,106,MD20181122005F
5,105,MD20181122005F
6,104,MD20181122005F
7,103,MD20181122005F
8,101,MD20181122005F
9,100,MD20181122005F
10,98,MD20181122005F
11,96,MD20181122005F
12,95,MD20181122005F
13,93,MD20181122005F
14,91,MD20181122005F
15,89,MD20181122005F
16,87,MD20181122005F
17,86,MD20181122005F
18,84,MD20181122005F
19,82,MD20181122005F
20,80,MD20181122005F
21,79,MD20181122005F
22,76,MD20181122005F
23,75,MD20181122005F
24,73,MD20181122005F
25,72,MD20181122005F
26,70,MD20181122005F
27,69,MD20181122005F
28,68,MD20181122005F
29,67,MD20181122005F
30,65,MD20181122005F
31,64,MD20181122005F
32,63,MD20181122005F
33,62,MD20181122005F
34,61,MD20181122005F
35,60,MD20181122005F
36,59,MD20181122005F
37,58,MD20181122005F
38,57,MD20181122005F
39,56,MD20181122005F
40,55,MD20181122005F
41,54,MD20181122005F
42,53,MD20181122005F
43,53,MD20181122005F
44,51,MD20181122005F
45,52,MD20181122005F
46,50,MD20181122005F
47,50,MD20181122005F
48,50,MD20181122005F
49,49,MD20181122005F
50,49,MD20181122005F
51,48,MD20181122005F
52,47,MD20181122005F
53,46,MD20181122005F
54,46,MD20181122005F
55,45,MD20181122005F
56,45,MD20181122005F
57,44,MD20181122005F
58,44,MD20181122005F
59,44,MD20181122005F
60,43,MD20181122005F
61,42,MD20181122005F
62,42,MD20181122005F
63,41,MD20181122005F
64,41,MD20181122005F
65,40,MD20181122005F
66,40,MD20181122005F
67,39,MD20181122005F
68,39,MD20181122005F
69,39,MD20181122005F
70,39,MD20181122005F
71,38,MD20181122005F
72,38,MD20181122005F
73,37,MD20181122005F
74,37,MD20181122005F
75,37,MD20181122005F
76,37,MD20181122005F
77,37,MD20181122005F
78,36,MD20181122005F
79,36,MD20181122005F
80,36,MD20181122005F
81,35,MD20181122005F
82,35,MD20181122005F
83,35,MD20181122005F
84,35,MD20181122005F
85,35,MD20181122005F
86,35,MD20181122005F
87,36,MD20181122005F
88,37,MD20181122005F
89,38,MD20181122005F
90,40,MD20181122005F
91,44,MD20181122005F
92,52,MD20181122005F
93,65,MD20181122005F
94,85,MD20181122005F
95,108,MD20181122005F
96,135,MD20181122005F
97,160,MD20181122005F
98,182,MD20181122005F
99,200,MD20181122005F
100,213,MD20181122005F
101,222,MD20181122005F
102,226,MD20181122005F
103,227,MD20181122005F
104,226,MD20181122005F
105,222,MD20181122005F
106,217,MD20181122005F
107,211,MD20181122005F
108,205,MD20181122005F
109,198,MD20181122005F
110,192,MD20181122005F
111,186,MD20181122005F
112,180,MD20181122005F
113,175,MD20181122005F
114,170,MD20181122005F
115,165,MD20181122005F
116,162,MD20181122005F
117,157,MD20181122005F
118,154,MD20181122005F
119,151,MD20181122005F
120,149,MD20181122005F
121,145,MD20181122005F
122,144,MD20181122005F
123,141,MD20181122005F
124,140,MD20181122005F
125,138,MD20181122005F
126,137,MD20181122005F
127,136,MD20181122005F
128,135,MD20181122005F
129,134,MD20181122005F
130,133,MD20181122005F
131,132,MD20181122005F
132,132,MD20181122005F
133,131,MD20181122005F
134,130,MD20181122005F
135,130,MD20181122005F
136,129,MD20181122005F
137,128,MD20181122005F
138,127,MD20181122005F
139,126,MD20181122005F
140,125,MD20181122005F
141,124,MD20181122005F
142,122,MD20181122005F
143,120,MD20181122005F
144,118,MD20181122005F
145,116,MD20181122005F
146,115,MD20181122005F
147,113,MD20181122005F
148,111,MD20181122005F
149,110,MD20181122005F
150,108,MD20181122005F
151,107,MD20181122005F
152,106,MD20181122005F
153,105,MD20181122005F
154,104,MD20181122005F
155,103,MD20181122005F
156,103,MD20181122005F
157,102,MD20181122005F
158,102,MD20181122005F
159,102,MD20181122005F
160,101,MD20181122005F
161,102,MD20181122005F
162,102,MD20181122005F
163,102,MD20181122005F
164,103,MD20181122005F
165,103,MD20181122005F
166,103,MD20181122005F
167,103,MD20181122005F
168,103,MD20181122005F
169,103,MD20181122005F
170,103,MD20181122005F
171,102,MD20181122005F
172,102,MD20181122005F
173,101,MD20181122005F
174,101,MD20181122005F
175,100,MD20181122005F
176,99,MD20181122005F
177,98,MD20181122005F
178,97,MD20181122005F
179,95,MD20181122005F
180,94,MD20181122005F
181,92,MD20181122005F
182,91,MD20181122005F
183,89,MD20181122005F
184,88,MD20181122005F
185,86,MD20181122005F
186,85,MD20181122005F
187,83,MD20181122005F
188,81,MD20181122005F
189,79,MD20181122005F
190,77,MD20181122005F
191,76,MD20181122005F
192,74,MD20181122005F
193,72,MD20181122005F
194,70,MD20181122005F
195,69,MD20181122005F
196,68,MD20181122005F
197,66,MD20181122005F
198,65,MD20181122005F
199,63,MD20181122005F
200,63,MD20181122005F
201,61,MD20181122005F
202,61,MD20181122005F
203,60,MD20181122005F
204,59,MD20181122005F
205,57,MD20181122005F
206,57,MD20181122005F
207,55,MD20181122005F
208,55,MD20181122005F
209,54,MD20181122005F
210,53,MD20181122005F
211,52,MD20181122005F
212,51,MD20181122005F
213,51,MD20181122005F
214,50,MD20181122005F
215,49,MD20181122005F
216,49,MD20181122005F
217,48,MD20181122005F
218,48,MD20181122005F
219,46,MD20181122005F
220,46,MD20181122005F
221,45,MD20181122005F
222,45,MD20181122005F
223,44,MD20181122005F
224,44,MD20181122005F
225,43,MD20181122005F
226,43,MD20181122005F
227,42,MD20181122005F
228,42,MD20181122005F
229,41,MD20181122005F
230,41,MD20181122005F
231,41,MD20181122005F
232,40,MD20181122005F
233,40,MD20181122005F
234,39,MD20181122005F
235,39,MD20181122005F
236,38,MD20181122005F
237,38,MD20181122005F
238,38,MD20181122005F
239,38,MD20181122005F
240,38,MD20181122005F
241,37,MD20181122005F
242,37,MD20181122005F
243,36,MD20181122005F
244,36,MD20181122005F
245,36,MD20181122005F
246,35,MD20181122005F
247,35,MD20181122005F
248,35,MD20181122005F
249,35,MD20181122005F
250,35,MD20181122005F
251,35,MD20181122005F
252,34,MD20181122005F
253,34,MD20181122005F
254,34,MD20181122005F
255,34,MD20181122005F
256,33,MD20181122005F
257,34,MD20181122005F
258,33,MD20181122005F
259,34,MD20181122005F
260,33,MD20181122005F
261,33,MD20181122005F
262,33,MD20181122005F
263,33,MD20181122005F
264,33,MD20181122005F
265,33,MD20181122005F
266,33,MD20181122005F
267,33,MD20181122005F
268,33,MD20181122005F
269,33,MD20181122005F
270,33,MD20181122005F
271,33,MD20181122005F
272,33,MD20181122005F
273,33,MD20181122005F
274,35,MD20181122005F
275,35,MD20181122005F
276,37,MD20181122005F
277,39,MD20181122005F
278,42,MD20181122005F
279,49,MD20181122005F
280,61,MD20181122005F
281,79,MD20181122005F
282,104,MD20181122005F
283,131,MD20181122005F
284,159,MD20181122005F
285,184,MD20181122005F
286,204,MD20181122005F
287,219,MD20181122005F
288,230,MD20181122005F
289,235,MD20181122005F
290,237,MD20181122005F
291,236,MD20181122005F
292,232,MD20181122005F
293,227,MD20181122005F
294,221,MD20181122005F
295,214,MD20181122005F
296,207,MD20181122005F
297,201,MD20181122005F
298,193,MD20181122005F
299,188,MD20181122005F
300,181,MD20181122005F
301,177,MD20181122005F
302,172,MD20181122005F
303,167,MD20181122005F
304,164,MD20181122005F
305,160,MD20181122005F
306,156,MD20181122005F
307,154,MD20181122005F
308,150,MD20181122005F
309,148,MD20181122005F
310,146,MD20181122005F
311,144,MD20181122005F
312,142,MD20181122005F
313,141,MD20181122005F
314,140,MD20181122005F
315,139,MD20181122005F
316,138,MD20181122005F
317,137,MD20181122005F
318,137,MD20181122005F
319,136,MD20181122005F
320,136,MD20181122005F
321,135,MD20181122005F
322,134,MD20181122005F
323,134,MD20181122005F
324,132,MD20181122005F
325,132,MD20181122005F
326,131,MD20181122005F
327,129,MD20181122005F
328,128,MD20181122005F
329,126,MD20181122005F
330,125,MD20181122005F
331,123,MD20181122005F
332,121,MD20181122005F
333,120,MD20181122005F
334,118,MD20181122005F
335,116,MD20181122005F
336,114,MD20181122005F
337,113,MD20181122005F
338,112,MD20181122005F
339,111,MD20181122005F
340,110,MD20181122005F
341,109,MD20181122005F
342,108,MD20181122005F
343,107,MD20181122005F
344,107,MD20181122005F
345,106,MD20181122005F
346,106,MD20181122005F
347,106,MD20181122005F
348,106,MD20181122005F
349,106,MD20181122005F
350,106,MD20181122005F
351,106,MD20181122005F
352,106,MD20181122005F
353,106,MD20181122005F
354,107,MD20181122005F
355,106,MD20181122005F
356,106,MD20181122005F
357,106,MD20181122005F
358,106,MD20181122005F
359,105,MD20181122005F
360,105,MD20181122005F
361,104,MD20181122005F
362,103,MD20181122005F
363,102,MD20181122005F
364,102,MD20181122005F
365,100,MD20181122005F
366,99,MD20181122005F
367,97,MD20181122005F
368,96,MD20181122005F
369,95,MD20181122005F
